_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
1085,Ngaphaipi,Hydro,Planned,30,,,China,PowerChina International (China),,,, ,Myanmar,Chin,Palam,,Lemyo,22.23,93.2387,"Actual location unknown, currently sited at locality in link/announcement", ,, , , ,,0101000020E6100000D00F2384474F57405E6397A8DE3A3640
1086,Ngayokekaung,Coal,Planned,540,,,Myanmar; Japan,"A1 Group, Mitsubishi Corp.",,,, ,Myanmar,Ayeyarwady,Bassein,,Irrawaddy Mainstem and Delta,16.5378,94.6936,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.irrawaddy.com/news/burma/irrawaddy-division-coal-power-plant-grounded-on-local-pushback.html; https://www.sourcewatch.org/index.php/Nga_Yoke_Kaung_power_station, ,,0101000020E61000006E8B321B64AC5740617138F3AB893040
1087,Nghi Son 1 (Nhà máy Nhiệt điện Nghi Sơn 1),Coal,Operational,600,2014,,Vietnam,"EVN, Tập đoàn Điện lực Việt Nam Genco No 1",Japan,JICA,Japan,Marbeni (Japan),Vietnam,Thanh Hóa,Tĩnh Gia,,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.3163,105.801, , ,,Sourcewatch,https://www.sourcewatch.org/index.php/Nghi_Son_power_station, ,,0101000020E610000073D712F241735A40FE60E0B9F7503340
1088,Nghi Son 2 (Nhà máy Nhiệt điện Nghi Sơn 2),Coal,Under Construction,1200,2022,,Japan; South Korea,Marubeni Corporation (Japan) & Korea Electric Power Company (South Korea) Tập đoàn Điện lực Hàn Quốc và Tập đoàn Marubeni,South Korea; Japan; Singapore; Malaysia,Export-Import Bank of Korea (Kexim); Japan Bank for International Cooperation (JBIC); DBS Bank (Singapore); Mizuho (Japan); MUFG (Japan); SMBC (Japan); Shinsei Bank (Japan); OCBC (Singapore); Maybank (Malaysia),, ,Vietnam,Thanh Hóa,Tĩnh Gia,,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.3163,105.801, , ,,Sourcewatch,https://www.sourcewatch.org/index.php/Nghi_Son_power_station; https://www.marubeni.com/en/news/2013/release/00011.html; http://nangluongvietnam.vn/news/vn/dien-luc-viet-nam/tinh-hinh-thuc-hien-cac-du-an-dien-theo-hinh-thuc-bot-o-viet-nam.html, ,03:29:20,0101000020E610000073D712F241735A40FE60E0B9F7503340
1089,Ngoi Hut 1,Hydro,Operational,8.4,2011,,Vietnam,Song Hong Joint Stock Corporation,,,, ,Vietnam,Yên Bái,Văn Yên,,Ngo Sui,21.8093,104.436, ,36000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-1-Hydropower, ,,0101000020E61000004772F90FE91B5A401EA7E8482ECF3540
1090,Ngoi Hut 2,Hydro,Operational,48,2014,,Vietnam,Truong Thanh Investment Construction and Development JSC,,,, ,Vietnam,Yên Bái,Mù Căng Chải,,Ngo Sui,21.7938,104.332, ,209000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-2-Hydropower, ,,0101000020E6100000304CA60A46155A4097900F7A36CB3540
1091,Ngoi Phat,Hydro,Operational,72,2014,,Vietnam,VINACONEX (Vietnam); Northern Electricity development and investment JSC. No.2,,,Vietnam,VINACONEX (Vietnam),Vietnam,Lào Cai,Bát Xát,,Red Mainstem and Delta,22.5546,103.744, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/ngoi-phat-Hydropower, ,,0101000020E61000008F53742497EF59402EFF21FDF68D3640
1092,Ngoi Xan 1,Hydro,Operational,10.5,2007,,Vietnam,Nam Tien Lao Cai JSC.,,,, ,Vietnam,Lào Cai,Bát Xát,,Red Mainstem and Delta,22.4734,103.873, ,42000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-xan-1-Hydropower, ,,0101000020E61000006B2BF697DDF7594029ED0DBE30793640
1093,Ngoi Xan 2,Hydro,Operational,8,2008,,Vietnam,Nam Tien Lao Cai JSC.,,,, ,Vietnam,Lào Cai,Bát Xát,,Red Mainstem and Delta,22.4754,103.859, ,75000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-xan-2-Hydropower, ,,0101000020E61000005EBA490C02F75940B6847CD0B3793640
1094,Nhi Ha Bitexco (Nhà máy điện mặt trời Nhị Hà Bitexco),Solar,Planned,50,2019,,Vietnam,CT TNHH MTV Solar Power Ninh Thuận,,,, ,Vietnam,Ninh Thuận,Thuận Nam,,Song Cai Phan Rang,11.4231,108.803, ,60000,,Sponsor Website,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_Nh%E1%BB%8B_H%C3%A0, ,,0101000020E61000001D38674469335B409B38B9DFA1D82640
1095,Nhi Ha Thuan Nam 13 (Nhà máy điện mặt trời Nhị Hà Thuận Nam 13),Solar,Planned,50,2019,,Vietnam,CT TNHH MTV Solar Power Ninh Thuận,,,, ,Vietnam,Ninh Thuận,Thuận Nam,,Song Cai Phan Rang,11.4231,108.803, ,80000,,Sponsor Website,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_Nh%E1%BB%8B_H%C3%A0, ,,0101000020E61000001D38674469335B409B38B9DFA1D82640
1096,Nho Que 1,Hydro,Under Construction,36,,,Vietnam,Northern Electrical Development (Vietnam),,,, ,Vietnam,Hà Giang,Mèo Vạc,,Pearl,23.2308,105.43, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf, ,,0101000020E6100000643BDF4F8D5B5A402592E865143B3740
1097,Nho Que 2,Hydro,Operational,48,,,,,,,, ,Vietnam,Hà Giang,Mèo Vạc,,Pearl,23.1692,105.503, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf, ,,0101000020E6100000D578E92631605A4097CADB114E2B3740
1098,Nho Que 3,Hydro,Operational,110,,,Vietnam,Bitexco Group,,,, ,Vietnam,Hà Giang,Mèo Vạc,,Pearl,23.1385,105.526, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf, ,,0101000020E61000003D9B559FAB615A40412B306475233740
1099,Nhon Trach 1 (Điện lực Dầu khí Nhơn Trạch),Gas,Operational,450,2008,,Vietnam,Can Tho Thermal Power Company (CTTP),,,, ,Vietnam,Đồng Nai,Nhơn Trạch,,Song Saigon,10.6434,106.84, , ,,Vietnam Electricity,https://www.industryabout.com/country-territories-3/2905-vietnam/fossil-fuels-energy/46719-nhon-trach-1-gas-power-plant,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,0101000020E6100000A857CA32C4B55A400CCD751A69492540
1100,Nhon Trach 2 (Điện lực Dầu khí Nhơn Trạch),Gas,Operational,760,2011,,Vietnam,Can Tho Thermal Power Company (CTTP),,,, ,Vietnam,Đồng Nai,Nhơn Trạch,,Song Saigon,10.643,106.839, , ,,Vietnam Electricity,https://www.industryabout.com/country-territories-3/2905-vietnam/fossil-fuels-energy/46565-nhon-trach-2-gas-power-plant,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,0101000020E61000003D9B559FABB55A40280AF4893C492540
1101,Nhon Trach Formosa,Coal,Operational,150,2004,,"Taipei, Taiwan; Vietnam","Hung Nghiep Formosa Hà Tĩnh Steel Corporation (Taiwan, Vietnam)",,,, ,Vietnam,Đồng Nai,Nhơn Trạch,,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.7326,106.935, , ,,Sourcewatch,https://www.sourcewatch.org/index.php/Nhon_Trach_Formosa_power_station, ,,0101000020E61000006B2BF697DDBB5A409E7B0F971C772540
1102,"Nhà máy điện mặt trời thôn Vĩnh Nam, thôn Vĩnh Đông",Solar,Planned,50,2019,,Vietnam,Cty CP Năng Lượng AMI Khánh Hòa,,,, ,Vietnam,Khánh Hòa,Cam Lâm,,Coastal Tributaries Khanh Hoa-Ninh Thuan,11.9922,109.127,"Actual location unknown, currently sited at locality in link/announcement", ,,EVN, , ,,0101000020E61000008048BF7D1D485B40957D5704FFFB2740
1103,Nhà máy điện sinh khối Doosan - KCN Minh Hưng,Biomass,Operational,19,2015,,South Korea,Doosan Corp,,,, ,Vietnam,Bình Phước,Chơn Thành,,Dong Nai,11.4884,106.615,"Actual location unknown, currently sited at locality in link/announcement", ,,Sponsor Website, ,https://www.eza-binhphuoc.gov.vn/index.php/khucongnghiep/kcn-minh-hung-han-quoc,12:21:20,0101000020E6100000A54E401361A75A40271422E010FA2640
1104,Ninh Binh (Nhà máy nhiệt điện Ninh Bình),Coal,Operational,100,1974,,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",,,, ,Vietnam,Ninh Bình,Ninh Bình,,Red Mainstem and Delta,20.253,105.984, , ,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf, ,,0101000020E61000001E166A4DF37E5A40B84082E2C7403440
1105,Ninh Binh 2 (Nhà máy nhiệt điện Ninh Bình mở rộng),Coal,Cancelled,330,2015,,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",Japan,JICA,Japan,JICB,Vietnam,Ninh Bình,Ninh Bình,,Red Mainstem and Delta,20.253,105.984,"Actual location unknown, currently sited at locality in link/announcement", ,,Sourcewatch,https://www2.jica.go.jp/yen_loan/pdf/en/5506/20060403-2.pdf, ,03:31:20,0101000020E61000001E166A4DF37E5A40B84082E2C7403440
1106,Noen Po Solar Power Plant,Solar,Operational,5.6,,,Thailand,Gunkul Chubu Powergen Company Limited (Thailand),,,, ,Thailand,Phichit,Sam Ngam,,Yom,16.4348,100.142, ,7468.464,,World Resources Institute,http://www.gunkul.com, ,,0101000020E6100000228E75711B095940014D840D4F6F3040
1107,Nong Khae,Gas,Operational,126,2000,,Thailand,"EGCO (Electricity Generating Public Company, Ltd.)",,,, ,Thailand,Saraburi,Nong Khae,,Chao Phraya-Ping,14.3406,100.867, ,515852.1,,Carbon Monitoring for Action,http://www.egco.com/en/corperate_profile_busin_groupmap.asp, ,,0101000020E610000088F4DBD78137594003098A1F63AE2C40
1108,Nong Khai 1 Solar Power Plant,Solar,Operational,7.4,2014,,Thailand,Solar Power (Nong Khai 1) Company Limited (Thailand),,,, ,Thailand,Bueng Kan,Bung Khong Long,,Nam Songkhram,17.9447,104.006, ,9869.042,,World Resources Institute,http://www.spcg.co.th/index.php/en/about, ,,0101000020E6100000F8C264AA60005A40FD87F4DBD7F13140
1109,Nong Khai Solar Farm,Solar,Operational,6,,,Thailand,SPCG Public Company Limited (Thailand),,,, ,Thailand,Bueng Kan,Bung Khong Long,,Nam Songkhram,17.9447,104.006, , ,,Wikipedia, , ,,0101000020E6100000F8C264AA60005A40992A1895D4F13140
1110,Nong On Solar Power Plant,Solar,Operational,8,,,Thailand,SSE-PV9 Project (Thailand),,,, ,Thailand,Suphan Buri,U Thong,,Tha Chin,14.3981,99.8313, ,10669.23,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E61000008C4AEA0434F55840401361C3D3CB2C40
1111,Nong Saeng,Gas,Operational,1600,2014,,Japan,Gulf JP NS (owned by J-Power etc.),Japan; ADB,JBIC; ADB,, ,Thailand,Saraburi,Nong Saeng,,Chao Phraya-Ping,14.4417,100.776, ,6550502,,World Resources Institute,http://www.jpower.co.jp/english/news_release/pdf/news140602.pdf, ,,0101000020E6100000C4B12E6EA331594052499D8026E22C40
1112,Nong Seuam,Hydro,Operational,,,,,,,,, ,Laos,Vientiane [prefecture],Xaythany,,Nam Ngum,18.137,102.656, , ,,WLE Mekong,https://wle-mekong.cgiar.org, ,,0101000020E6100000F5B9DA8AFDA959406C3EAE0D15233240
1113,Nong Son (Nhà máy nhiệt điện Nông Sơn),Coal,Operational,30,2014,,Vietnam,Vinamomin (Vietnam),,,, ,Vietnam,Quảng Nam,Nông Sơn,,Song Thu Bon Mainstem,15.717,108.032, , ,,Sourcewatch,https://www.sourcewatch.org/index.php/Nong_Son_power_station; http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf, ,,0101000020E6100000BC74931804025B4057CF49EF1B6F2F40
1114,Nongkrathum 4 Solar Power Plant,Solar,Operational,8,,,Thailand,SSE-PV4 Project (Thailand),,,, ,Thailand,Suphan Buri,Doembang Nangbua,,Tha Chin,14.8735,99.8311, ,10669.23,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E610000029ED0DBE30F55840AC1C5A643BBF2D40
1115,Nongkrathum 5 Solar Power Plant,Solar,Operational,8,,,Thailand,SSE-PV5 Project (Thailand),,,, ,Thailand,Suphan Buri,Doembang Nangbua,,Tha Chin,14.8735,99.8334, ,10669.23,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E6100000211FF46C56F55840AC1C5A643BBF2D40
1116,Nongyasai Solar Power Plant,Solar,Operational,8,,,Thailand,SSE-PV3 Project (Thailand),,,, ,Thailand,Suphan Buri,Nong Ya Sai,,Tha Chin,14.7697,99.9505, ,10669.23,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E610000046B6F3FDD4FC584060764F1E168A2D40
1117,North Bangkok (Block 1-2,Gas,Operational,1552.3,2016,,Thailand,EGAT (Thailand),,,, ,Thailand,Nonthaburi,Bang Kruai,,Chao Phraya-Ping,13.8125,100.51, , ,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/index.php?option=com_content&view=article&id=39&Itemid=117, ,,0101000020E61000005BB1BFEC9E205940AB09A2EE03A02B40
1118,North Bangkok Power Station,Gas,Operational,704,2010,,Thailand,Electric Generating Authority of Thailand,,,, ,Thailand,Nonthaburi,Bang Kruai,,Chao Phraya-Ping,13.8129,100.509, ,2882221,,GEODB,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=119, ,,0101000020E6100000E3C798BB9620594039D6C56D34A02B40
1119,Nuoc Trong,Hydro,Operational,16.5,2012,,Vietnam,Nuoc Trong Hydropower JSC,,,, ,Vietnam,Quảng Ngãi,Sơn Hà,,Song Tra Khuc,15.0809,108.412, ,70000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nuoc-trong-Hydropower, ,,0101000020E61000008A1F63EE5A1A5B40287E8CB96B292E40
1120,Nuozhadu,Hydro,Operational,5850,2012,,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Pu'er,,Mekong Mainstem - China,22.6442,100.427, , ,,RCC Dams, ,https://en.wikipedia.org/wiki/Nuozhadu_Dam,,0101000020E610000065AA6054521B59400569C6A2E9A43640
1121,O Chum II,Hydro,Operational,1,,,,,,,, ,Cambodia,Ratanak Kiri,Ou Chum,,Sesan,13.7723,106.987, , ,,OpenDevelopment, ,https://www.unescap.org/sites/default/files/Operationalizing%20NEXSTEP%20at%20national%20level%20_%20Cambodia_Mr.%20Sareth%20Nong.pdf,,0101000020E6100000D0D556EC2FBF5A407A7077D66E8B2B40
1122,O Mon 1 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Operational,660,2015,,Vietnam,EVN GENCO 2 - Vietnam Electricity (EVN),,,, ,Vietnam,Cần Thơ,Ô Môn,,Vietnam Mekong Delta,10.1349,105.669, ,1900000,,EVN,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,https://www.evn.com.vn/d6/news/To-may-2-Nha-may-Nhiet-dien-O-Mon-I-Hoa-dien-lan-dau-vao-luoi-dien-quoc-gia-6-13-15584.aspx,,0101000020E61000004B598638D66A5A400E6ABFB513452440
1123,O Mon 2 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050,2026,,Vietnam; Japan,"EVN, Vietracimex-Marubeni",Vietnam; Japan,"EVN, Vietracimex, JICA",, ,Vietnam,Cần Thơ,Ô Môn,,Vietnam Mekong Delta,10.1349,105.669,, ,,Media,https://www.adb.org/projects/43400-013/main; https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html; https://www.gem.wiki/O_Mon-II_power_station; https://www2.jica.go.jp/yen_loan/pdf/en/6313/20130325.pdf,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,03:31:20,0101000020E61000004B598638D66A5A400E6ABFB513452440
1124,O Mon 3 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050,2022,,Vietnam,EVN,,,, ,Vietnam,Cần Thơ,Ô Môn,,Vietnam Mekong Delta,10.1349,105.669,, ,,EVN,https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,12:21:20,0101000020E61000004B598638D66A5A400E6ABFB513452440
1125,O Mon 4 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050,2023,,Vietnam,EVN,Germany; ADB,ADB; KfW(Germany),, ,Vietnam,Cần Thơ,Ô Môn,,Vietnam Mekong Delta,10.1349,105.669,, ,,EVN,https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html; https://www.norwep.com/content/download/40625/297656/version/3/file/2.EVN-LNG+Norway+Embassy_D.pdf,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,12:21:20,0101000020E61000004B598638D66A5A400E6ABFB513452440
1126,O Phlai I,Hydro,Planned,5,,,,,,,, ,Cambodia,Ratanak Kiri,Ou Chum,,Sesan,13.7723,106.987, , ,,OpenDevelopment, , ,,0101000020E6100000D0D556EC2FBF5A407A7077D66E8B2B40
1127,O Phlai II,Hydro,Planned,4,,,,,,,, ,Cambodia,Mondulkiri,Ou Reang,,Srepok,12.4008,107.384, , ,,OpenDevelopment, , ,,0101000020E6100000462575029AD85A4077DB85E63ACD2840
1128,O Phlai III,Hydro,Planned,5,,,,,,,, ,Cambodia,Mondulkiri,Ou Reang,,Srepok,12.5178,107.386, , ,,OpenDevelopment, , ,,0101000020E6100000789CA223B9D85A407EC6850321092940
1129,O Phlai IV,Hydro,Planned,7,,,,,,,, ,Cambodia,Mondulkiri,Pechr Chenda,,Srepok,12.5907,107.369, , ,,OpenDevelopment, , ,,0101000020E61000006B9A779CA2D75A40CAE02879752E2940
1130,O Sla,Hydro,Planned,2,,,,,,,, ,Cambodia,Mondulkiri,Pechr Chenda,,Srepok,12.8018,107.419, , ,,OpenDevelopment, , ,,0101000020E6100000894160E5D0DA5A40D13FC1C58A9A2940
1131,O Tourou Trav,Hydro,Planned,1,,,,,,,, ,Cambodia,Kampot,Tuek Chhou,,Coastal Rivers Kampot-Sihanoukville,10.8458,104.102, , ,,OpenDevelopment, , ,,0101000020E610000011C7BAB88D065A40E2E995B20CB12540
1132,Oak Kan,Wind,Planned,50,,,China,China Three Gorges (China),,,, ,Myanmar,Yangon,Yangon-N,,Irrawaddy Mainstem and Delta,17.4986,95.836,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E61000007689EAAD81F557403A7AFCDEA67F3140
1133,OASIS Factory Rooftop Installation (Hệ Thống Điện Mặt Trời Áp Mái Tại Công Ty TNHH May OASIS),Solar,Operational,0.23,2017,,Vietnam,SolarESCO (a Solar BK subsidiary) (Vietnam),Vietnam,Solar ESCO (Vietnam) (corporate finance) using IFC model,, ,Vietnam,Hồ Chí Minh,Củ Chi,,Song Saigon,10.9629,106.522, , ,,Sponsor Website,https://irex.vn/solaresco-phat-trien-thong-dien-mat-troi-ap-mai-tai-cong-ty-tnhh-may-oasis/, ,,0101000020E6100000764F1E166AA15A40CC4065FCFBEC2540
1134,Oddar Meanchey Coal Plant,Coal,Under Construction,265,2021,,Cambodia; China,"Han Seng Coal Mine Company, Electricite Du Cambodge, Guodian Kangneng",Cambodia,Han Seng Coal Mine,Cambodia; China,"Han Seng Coal Mine Company, Guodian Kangneng Technology",Cambodia,Oddar Meanchey,Anlong Veaeng,,Steng Sen,14.1858,104.319,"Actual location unknown, currently sited at locality in link/announcement", ,,Cambodia Constructors Association,https://construction-property.com/national-assembly-approves-three-drafts-on-coal-fired-electricity-constructions/?fbclid=IwAR3KB9x0DPhVTazHxSgBVipxAbrK1RMnomPV2FyIpLdCstFAt9HhkMmQvLE; https://www.khmertimeskh.com/50689210/royal-group-to-invest-1-5-billion-in-700-mws-coal-fired-power-plant/; http://www.inpai.com.cn/news/redian/2020/0617/062020_50732.html,https://www.propease.co/news-details/225,12:28:20,0101000020E6100000A34B49206F145A40074E6CF4205F2C40
1135,Oromis-Oromleng,Hydro,Operational,0.37,2008,,Japan,J-Power,,,, ,Cambodia,Mondulkiri,Saen Monourom,,Srepok,12.4986,107.168,"Actual location unknown, currently sited at locality in link/announcement", ,,Open Development Cambodia,https://data.opendevelopmentcambodia.net/km/dataset/progress-of-cambodia-power-development-plans--transmission-interconnection-projects,https://www.kh.emb-japan.go.jp/economic/oda/odalist_march2011-k.pdf; http://www.mrcmekong.org/assets/Uploads/1.-Hydropower-plan-Cambodia.pdf; https://www.jpower.co.jp/english/international/consulting/pdf/mondul_kiri_rev1.pdf,08:03:20,0101000020E6100000C8409E5DBECA5A40B4E386DF4DFF2840
1136,P.S. CH. Biogas Plant,Waste,Unknown,1,,,Thailand,P.S. CH. Food Products Co. Ltd.,,,, ,Thailand,Si Sa Ket,Khun Han,,Mun-Chi,14.7093,104.482, , ,,UNFCCC,Biogas from wastewater from rice starch,https://cdm.unfccc.int/Projects/DB/RWTUV1372844247.26/view,,0101000020E610000017B7D100DE1E5A40EC6987BF266B2D40
1137,P.S. CH. Biogas Plant,Waste,Unknown,1,,,Thailand,P.S. CH. Food Products Co. Ltd.,,,, ,Thailand,Si Sa Ket,Khun Han,,Mun-Chi,14.7093,104.482, , ,,UNFCCC,Biogas from wastewater from rice starch,https://cdm.unfccc.int/Projects/DB/RWTUV1372844247.26/view,,0101000020E610000017B7D100DE1E5A40EC6987BF266B2D40
1138,Pa Chien (Thủy điện Pá Chiến),Hydro,Operational,22,2013,,Vietnam,Pa Chien Hydro Power JSC.,,,, ,Vietnam,Sơn La,Mường La,,Black-Li Xian,21.476,104.04, ,82000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/pa-chien-Hydropower,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_P%C3%A1_Chi%E1%BA%BFn,,0101000020E6100000D881734694025A4060E5D022DB793540
1139,Pac Ma (Thủy điện Pắc Ma),Hydro,Operational,140,2020,,Vietnam,Công ty cổ phần thủy điện Pắc Ma,,,Vietnam,Công ty cổ phần Sông Đà 4,Vietnam,Lai Châu,Mường Tè,,Black-Li Xian,22.5664,102.516, ,530000,,Sponsor Website,http://songda4.vn/tin-tuc/hoat-dong-san-xuat/le-khoi-cong-cong-trinh-thuy-dien-pac-ma, ,04:30:20,0101000020E61000001B2FDD2406A15940E2CCAFE600913640
